"curve_id","GC%","Total length"
"314",61.26,5753886
"315",61.26,5749119
"316",61.26,5752554
"317",54.24,4536178
"318",55.33,4621480
"319",64.17,5009909
"31",60.84,5907334
"320",55.33,4618451
"321",54.18,4614040
"322",38.79,3685535
"323",60.01,5986162
"324",55.78,4926697
"325",60.01,5994741
"326",60.01,5994311
"327",60.83,5512624
"329",54.38,4367082
"32",60.84,5908357
"330",60.83,5510054
"331",58.94,6731664
"332",61.36,6456822
"333",55.77,4611872
"334",58.84,7585375
"335",58.66,7971505
"336",59.41,6618386
"337",59.04,6718838
"338",59.33,6377176
"339",55.52,5545714
"33",60.84,5904064
"340",58.68,6439258
"341",51.88,4792970
"342",58.69,6470142
"343",60.97,7282789
"344",58.84,6207843
"345",34.21,5152804
"346",34.21,5150620
"347",58.91,6428391
"348",60.81,6564542
"349",60.81,6565942
"34",60.84,5909557
"350",60.81,6567998
"351",39.73,5883870
"352",61.94,6349203
"353",62.81,7407341
"354",62.86,5867702
"355",61.95,7252788
"356",37.35,6104242
"357",60.07,6625541
"358",59.72,6782049
"359",59.42,6666421
"35",60.96,5701218
"360",64.98,4132925
"361",71.68,3304463
"362",61.05,4439571
"363",61.16,4542354
"364",61.05,4439553
"365",71.19,8967745
"366",68.63,5777006
"367",57.31,4080386
"368",55.25,5371392
"369",61.26,5749474
"36",58.73,6285471
"370",57.31,4079365
"371",67.48,5502134
"372",36.41,5279192
"373",66.33,5083168
"374",64.33,4479395
"375",64.33,4479218
"376",56.87,4478956
"377",64.17,5012220
"378",61.1,4162620
"379",64.17,5011182
"37",59.93,6822146
"380",61.37,5502154
"381",66.68,4276284
"382",60.79,5552201
"383",60.79,5550208
"384",36.95,6100682
"385",60.01,5993553
"386",60.83,5511885
"387",37.04,5968312
"388",68.08,5485872
"389",55.77,4610735
"38",59.67,6439847
"390",59.14,6612270
"391",59.41,6621549
"392",59.15,6548024
"393",55.48,5711172
"394",55.48,5712711
"395",55.53,5557279
"396",63.06,7593717
"397",58.79,6483963
"398",51.88,4793082
"399",60.27,7039957
"39",60.73,6096569
"3",59.23,6632668
"400",58.84,6205674
"40",58.97,6597824
"41",60.92,6540918
"42",58.68,7228595
"43",59.06,6729796
"44",59.31,6202971
"45",59.03,6867831
"46",59.02,6932158
"47",59.23,6658523
"48",61.23,6438509
"49",60.02,5915924
"4",60.04,5599294
"50",56.19,8229441
"51",60.21,6374205
"52",60.13,6410550
"53",61.85,5102710
"54",61,11122102
"55",60.05,6187987
"56",59.1,6340489
"57",60.8,6513947
"58",56,9877681
"59",55.21,5277702
"5",59.23,6631547
"60",59.8,5975621
"61",61.62,4406510
"62",55.49,4845571
"63",38.5,4050276
"64",59.96,6254002
"65",61.91,5173871
"66",61.97,5071127
"67",60.29,6081011
"68",60.42,6732001
"69",60.73,5985341
"6",59.23,6631052
"70",60.31,6072132
"71",60.26,6090507
"72",60.1,5654300
"73",61.77,5224557
"74",60.45,6686755
"75",59.34,5659138
"76",66.98,4353264
"77",59.94,5921853
"78",59.83,5782607
"79",59.45,6208692
"7",60.34,5873126
"80",59.96,5864300
"81",59.72,6231459
"82",60.83,5911358
"83",60.84,5911809
"84",60.96,5703032
"85",60.96,5702402
"86",58.74,6283611
"87",58.74,6288542
"88",59.93,6810465
"89",60.14,5701059
"8",60.83,6190088
"90",60.93,6538802
"91",60.25,6068428
"92",56.9,4612660
"93",54.32,4460890
"94",58.76,11169374
"95",59.25,6330989
"96",59.29,6079305
"97",60.29,6683766
"98",59.23,6656003
"99",59.86,5954965
"9",60.65,5605055
