curve_id,contigs >= 0bp,contigs >= 1000bp,contigs >= 5000bp,contigs >= 10000bp,contigs >= 25000bp,contigs >= 50000bp,length >= 0bp,length >= 1000bp,length >= 5000bp,length >= 10000bp,length >= 25000bp,length >= 50000bp,Contigs,Largest_contig,Total length,GC%,N50,N90,auN,L50,L90,#Ns_per_kbp
116,141,44,43,42,31,26,6045061,6024537,6021263,6011777,5831812,5655177,51,816874,6028985,60.22,269849,72468,342692.4,7,22,22.16
117,143,50,49,47,38,33,6046554,6027909,6025681,6012047,5876307,5711149,52,755188,6029035,60.22,214543,74373,293776.6,8,28,21.21
118,203,41,36,35,34,27,4949128,4916726,4902571,4894312,4874740,4636701,46,568010,4919749,55.15,204137,64150,244705.4,8,24,19.96
119,169,30,27,26,26,22,5934793,5906515,5901618,5896197,5896197,5760741,30,778513,5906515,60.84,351817,109893,406644.4,6,17,13.21
11,323,71,61,58,52,49,10768261,10718131,10700154,10679412,10572439,10464093,81,612302,10724477,57.34,245130,108929,298831.4,14,39,29.63
120,173,50,43,43,38,30,5757313,5733945,5721780,5721780,5636011,5305354,51,721843,5734539,60.9,233080,64020,274748.7,8,28,12.31
121,190,66,59,55,47,38,6766164,6737658,6720288,6695442,6580846,6237800,72,525035,6741753,59.16,211032,65151,220252.7,11,35,12.89
122,297,55,49,46,38,32,6891769,6832103,6815917,6795816,6664266,6486317,62,964261,6836600,59.63,232059,83300,403405.2,6,27,24.6
123,233,51,45,42,39,31,7240435,7198519,7187622,7168290,7116542,6814255,55,964277,7201057,59.86,239552,72122,383463.6,7,26,20.15
124,252,58,54,51,38,33,6103404,6064328,6054831,6030423,5795471,5610064,62,703919,6067222,60.24,202841,72385,236933.8,11,31,13.45
125,299,67,60,57,47,35,6580944,6531189,6515362,6494099,6277156,5837777,73,335729,6535446,60.92,220443,49219,194929.2,13,36,10.08
126,197,71,65,61,55,37,5558685,5531571,5521625,5496619,5379517,4745230,77,334133,5535891,60.9,144491,38944,148575.5,14,43,17.81
127,203,37,33,32,28,21,6313016,6275558,6265982,6260206,6191396,5964172,39,934613,6276600,58.77,344362,81694,454451.5,5,17,15.66
128,219,26,20,19,19,17,4589970,4545512,4529191,4521180,4521180,4466182,30,790796,4547872,52.83,457497,111517,405359.9,4,14,30.3
129,1044,52,41,40,37,30,6847553,6585035,6562869,6555665,6516384,6221813,67,837098,6594015,60.32,266555,68325,357490.7,7,26,20.84
12,126,26,22,20,17,16,7130617,7108418,7098468,7086649,7033071,6984504,31,1227318,7112102,62.35,590252,237062,627586.2,5,12,38.09
130,164,21,20,19,18,15,3904389,3875519,3874055,3868489,3844603,3723258,23,1065972,3876801,38.61,289628,88289,497139.3,3,12,25.25
131,173,19,18,17,16,14,3907974,3875856,3874392,3868826,3844840,3767386,21,1065972,3877069,38.61,289628,89084,504828.2,3,11,27.65
132,282,69,66,58,52,40,6449898,6407607,6399930,6339717,6215427,5749350,79,523170,6414069,60.13,157472,48849,203116.8,12,41,40.96
133,122,27,25,24,22,21,6505108,6486382,6482109,6476822,6450643,6418325,28,1089559,6487096,59.23,525934,119301,538988.3,5,14,8.94
134,173,16,15,14,12,10,3901620,3868942,3865195,3859605,3824607,3747707,22,1367072,3873128,38.52,405689,171029,689231,3,8,30.34
135,165,53,53,51,43,29,4283857,4258264,4258264,4244819,4124739,3592440,54,429940,4259228,66.38,125623,39352,151941.2,11,35,31.86
136,257,32,24,24,23,22,6396948,6357322,6340355,6340355,6329473,6301552,35,741054,6359401,60.67,350671,186276,399213.4,7,16,15.94
137,130,27,25,23,21,20,6361148,6336494,6332024,6317195,6276920,6243583,31,896526,6339094,59.1,430578,180460,443554.8,6,15,19.07
138,95,40,37,35,35,26,6355532,6343461,6336384,6321994,6321994,6015521,42,920202,6344835,59.27,261909,104904,391642.6,7,23,21.66
139,135,30,29,28,25,21,5889884,5868574,5866018,5856359,5796066,5636107,31,1677203,5869095,60.82,321489,94800,675982.6,4,17,19.76
13,101,26,22,22,21,20,6117909,6099936,6087723,6087723,6067410,6027120,30,625639,6102439,59.93,345992,195720,385998.6,6,16,20.86
140,82,11,10,10,10,8,5372364,5356085,5351346,5351346,5351346,5267629,14,2496803,5358160,55.03,710729,311407,1409374.2,2,6,16.82
141,70,8,7,6,5,5,4532688,4518448,4515343,4510225,4494115,4494115,9,1561102,4518988,59.18,1216164,733690,1163260.1,2,4,9.54
141_reseq,391,329,202,128,47,14,4508654,4482215,4098037,3554402,2248146,1033471,350,133944,4498104,59.18,24722,5503,35198.1,48,193,34.33
142,229,8,7,6,5,5,4576163,4518813,4515708,4510590,4494480,4494480,10,1507521,4519903,59.18,1216441,733870,1164270.6,2,4,17.61
143,27,7,6,5,4,4,4523325,4519551,4516428,4511310,4495200,4495200,8,1561286,4520091,59.18,1215468,733734,1199820,2,4,15.49
144,211,41,40,37,35,23,5119845,5087945,5086492,5066345,5033854,4591812,48,603333,5092518,60.08,235218,53151,262214,8,23,19.46
145,175,35,33,31,30,20,5116559,5091242,5087699,5072813,5052926,4668599,40,682749,5094419,60.08,235319,58558,325364.8,7,19,17.88
146,164,35,33,33,31,26,4980294,4956967,4953491,4953491,4906657,4720510,40,442011,4960484,60.18,204621,75149,237908.9,8,22,7.96
147,197,35,34,33,31,21,5118597,5089793,5088340,5080713,5048222,4673010,39,629336,5092380,60.08,246322,57156,314527.6,6,20,23.31
148,192,59,53,47,40,34,6903537,6872953,6855471,6815299,6692816,6469864,61,469356,6874345,59.75,300943,79983,261645.1,9,31,20.95
149,170,47,45,43,39,30,6256757,6227039,6224615,6213037,6140170,5766539,55,580712,6232833,60.64,198762,65747,248507.1,10,28,11.41
14,167,29,27,27,25,21,5902510,5869207,5865458,5865458,5820802,5652861,37,756819,5874240,61.03,380834,140959,367453.8,6,18,25.02
150,511,72,64,59,54,40,6590495,6501149,6486513,6451252,6374570,5898232,83,436192,6508476,60.65,173521,50005,201622.2,12,40,34.19
151,247,85,76,72,59,42,6452967,6421983,6405800,6375800,6138661,5515997,87,334817,6423646,59.69,123246,40858,152147.6,16,48,12.52
152,189,13,10,9,9,9,4705076,4661656,4653925,4648516,4648516,4648516,14,1259390,4662448,37.02,733483,312683,773164,3,6,10.75
153,201,91,82,75,62,48,6961586,6937229,6924039,6870840,6628900,6068506,93,384473,6938378,58.89,126499,45746,156608,17,52,10.15
154,205,79,68,68,56,44,6966705,6936460,6920595,6920595,6709207,6213042,83,502288,6939116,58.89,161005,49225,192785.5,14,45,7.03
155,230,87,77,73,61,44,6965405,6930881,6915586,6889460,6668367,5992204,95,631484,6936443,58.89,149073,44421,191611.4,15,50,9.67
156,5510,81,48,48,39,30,8005965,6086290,6041879,6041879,5873585,5551980,771,844985,6525576,60.35,172392,25363,248852.3,12,39,18.07
157,297,53,48,47,37,30,6109394,6055318,6043213,6037780,5870824,5628230,59,909470,6058597,60.41,187135,82164,289322,10,28,12.92
158,328,45,41,40,35,30,6117724,6052537,6046995,6041413,5953995,5778532,47,950597,6053607,60.41,182325,93139,303366,10,27,16.49
159,282,47,43,43,38,32,6102832,6053551,6047970,6047970,5948496,5746678,51,621155,6055931,60.41,182985,87017,229773.7,11,29,21.2
15,165,36,33,33,30,26,5872513,5843802,5835180,5835180,5775850,5651924,44,492232,5848934,60.72,276468,103525,269611.5,9,22,20.53
160,250,51,47,47,39,33,6093185,6053289,6044572,6044572,5905610,5686631,54,951649,6055184,60.41,160076,82164,292992.9,10,30,18.1
161,711,105,96,87,71,45,5691688,5579326,5561309,5490094,5239926,4383548,126,282437,5594078,59.97,87549,29039,103568.1,21,64,51.63
162,243,56,47,46,36,29,6431010,6389756,6374387,6366291,6183760,5929300,59,631069,6391489,58.94,270735,66441,307578.6,8,26,24
163,286,54,48,44,32,28,6428162,6369654,6353231,6323479,6122236,5986283,59,1267940,6374157,60.55,226575,90400,423160.4,8,24,10.86
164,445,77,68,64,53,42,6355682,6295418,6280253,6253614,6046365,5627264,80,533816,6297093,60.94,136878,49972,166257.1,16,43,47.75
165,187,70,66,60,50,31,4727901,4701805,4688492,4643724,4495107,3800059,74,319199,4704666,67.32,117270,34383,134857.6,13,42,26.85
166,236,33,28,27,25,21,6360620,6316625,6305852,6296322,6265700,6116443,36,971464,6318401,58.68,411896,94028,473920.6,5,16,21.52
167,990,250,220,200,136,91,13200436,13077667,13018911,12859308,11762616,10099313,273,455165,13091729,59.6,102591,24979,124079.6,39,137,14.62
168,214,40,36,34,30,29,6354489,6315871,6308231,6293638,6221397,6172202,43,822124,6317699,58.68,268092,93688,322031.6,8,24,20.36
169,674,113,99,87,61,44,6873386,6801142,6770028,6673736,6239009,5619306,120,533303,6806225,60.42,125185,30212,158974.1,17,57,14.49
16,163,30,27,26,26,20,5912589,5880547,5872565,5866779,5866779,5672542,35,1069859,5883718,60.81,502287,91191,477672.5,5,15,10.03
170,616,25,19,18,17,13,4570689,4414454,4400917,4395696,4378633,4252370,32,911192,4418978,60.86,626439,108173,523339.9,3,10,9.32
171,523,34,31,29,28,23,4673846,4567304,4558469,4544421,4521499,4347864,39,597030,4570654,61.73,191294,78116,251208.3,8,20,23.65
172,1703,51,36,35,29,27,5536629,5096905,5055805,5050278,4949704,4878490,65,708804,5105062,45.38,195030,66983,291438.7,7,23,27.46
173,337,47,39,36,35,31,6662519,6593263,6571101,6546979,6522012,6367308,57,640729,6600286,58.99,301423,81569,298567.2,9,25,8.12
174,1375,161,133,123,90,59,7829869,7506154,7442555,7363314,6857707,5712818,185,226890,7521888,58.77,81300,27700,95462.7,29,87,26.97
175,164,50,45,43,42,41,6699270,6674906,6666639,6653354,6639672,6603354,53,467974,6677017,59.83,210577,76527,215652.6,12,33,28.34
176,303,55,54,48,42,27,5961192,5909946,5907059,5862305,5750941,5167057,57,734460,5911009,60.37,233798,46907,281215.6,8,31,17.61
177,199,69,64,60,49,37,6095178,6066213,6053115,6019310,5819863,5399875,77,478899,6070913,60.93,147304,45532,188832.1,13,39,13.33
178,642,52,49,45,37,28,6056161,5917369,5910280,5882028,5763783,5425859,62,532862,5923549,60.1,226043,50471,269825.6,8,27,26.07
179,221,64,52,48,43,32,6267282,6235908,6212441,6179617,6099100,5713447,67,459127,6237842,59.8,215171,57108,221648.3,11,31,27.45
17,131,36,34,33,31,28,5863262,5842891,5838759,5833555,5791953,5695428,42,498383,5847214,60.72,276530,93490,273596.1,8,23,25.69
180,214,49,44,43,40,37,6899177,6866614,6852691,6844036,6802581,6687016,52,555839,6868945,58.58,234826,73397,261434.1,10,29,44.27
181,1464,618,430,295,129,45,11651941,11504187,10986936,9980359,7363630,4403261,662,301545,11534464,58.07,37391,8383,59630.1,77,339,24.46
182,517,98,90,75,55,40,6874143,6819107,6798374,6683563,6365058,5861381,102,771930,6821537,60.66,144320,31543,215078.9,14,48,11.52
183,937,172,158,137,85,43,6713427,6609158,6566397,6391735,5538354,4030060,181,213579,6614733,60.67,64948,16814,77645.4,31,105,18.96
184,930,228,204,186,128,81,12901926,12741894,12677999,12537716,11512019,9782920,259,469959,12761192,60.16,107021,25433,135870.9,36,127,12.04
185,451,110,91,85,68,54,7821291,7739273,7693723,7650529,7358876,6837668,116,359103,7743327,58.76,155654,43153,153868.9,18,57,11.58
186,1381,141,129,112,84,50,7842231,7522248,7493604,7366696,6906195,5736214,157,326323,7531643,59.08,93525,28189,116694.8,24,80,23.49
187,317,39,37,35,30,28,6357534,6289267,6284121,6268377,6174385,6103771,46,532822,6293804,59.69,279183,93934,299221.7,8,22,17.95
188,366,35,34,32,31,27,5938659,5859194,5854443,5839664,5819298,5676861,38,670858,5860984,59.99,286888,91305,310649.5,7,21,35.78
189,361,30,28,26,24,23,5937558,5854578,5847578,5831404,5801841,5769367,36,992973,5858238,59.99,393104,91265,454845,5,17,34.45
18,202,30,25,25,24,23,6541452,6501126,6491943,6491943,6476044,6426534,33,1047622,6502804,60.32,384969,124121,444721.1,6,18,22.88
190,700,46,40,39,34,28,6071105,5904522,5890093,5885052,5808447,5597859,50,765087,5907140,60.82,225358,96725,310152.4,7,24,27.19
191,878,30,21,20,20,16,5189763,4968936,4941223,4935232,4935232,4811546,35,816144,4971816,54.59,320046,119495,436499.3,5,13,10
192,391,73,62,61,46,35,6071374,5996089,5973879,5965707,5721703,5347503,77,411201,5998545,60.25,164683,44149,176870.7,13,37,15.6
193,663,39,38,37,33,28,6095897,5939629,5935024,5926027,5856240,5684273,44,849896,5943258,59.84,270014,85240,358148.7,7,23,53.54
194,1242,44,37,36,31,26,7157701,6844530,6827372,6819202,6733534,6567243,56,1155321,6851971,59.37,287459,96755,469722.2,6,21,33.86
195,180,26,18,18,17,15,5020788,4985836,4969479,4969479,4951440,4881598,30,1087925,4988472,55.43,466215,124340,526453.7,4,12,21.81
196,130,28,20,20,19,16,5008403,4988351,4972209,4972209,4954170,4853482,31,1087780,4990047,55.43,466601,124584,506554.5,4,13,21.8
196_reseq,715,529,261,138,39,10,4980629,4913693,4188292,3299334,1716393,686879,581,97158,4952109,55.45,17712,3715,24999.9,75,323,31.2
197,793,46,42,41,38,30,6066710,5883967,5874624,5869378,5810211,5504566,49,499766,5886291,61.02,211704,63289,234207.1,10,27,25.26
198,462,38,33,30,28,23,6316022,6206462,6196034,6170987,6136788,5928951,44,809608,6210336,61.03,382999,80152,397319.6,6,18,12.12
199,325,34,33,30,28,24,6354586,6285516,6282527,6262651,6234143,6065525,36,816792,6287437,61.05,364425,93862,421431.7,6,18,24.7
19,186,37,34,30,29,24,6747013,6716909,6711335,6685619,6674069,6489241,41,901382,6719708,59.16,355378,109104,461725.3,6,19,16.86
1,4457,648,23,20,19,19,9520731,7748106,6821988,6801812,6790015,6790015,2050,881777,8731465,54.6,343046,933,406147.7,8,762,31.78
200,428,42,40,39,33,28,5968370,5880208,5875629,5870383,5756246,5590161,47,462117,5884185,61.02,219156,91080,246331.2,10,25,25.54
201,425,201,176,157,106,61,11264340,11208127,11151844,10999812,10135169,8472825,213,893841,11216276,58.73,118416,25271,227082.7,21,105,36.07
202,630,33,30,28,26,25,6181596,6033321,6022125,6009289,5983670,5947844,39,801540,6036913,60.26,295014,92111,394624.6,6,19,28.23
203,402,31,29,29,25,23,6124862,6034537,6027368,6027368,5965968,5884025,35,709601,6036961,60.26,324724,133228,383183.7,6,17,31.08
204,758,33,32,31,29,24,6251305,6065595,6064539,6059456,6016647,5854444,35,786329,6066951,59.94,341974,85362,367725.1,7,19,35.04
205,216,44,33,33,31,26,5879674,5840918,5820629,5820629,5784044,5616542,49,601155,5844296,60.64,247409,106915,284404.1,8,22,9.98
206,559,43,32,31,30,26,5971503,5841852,5821253,5814354,5790755,5651195,48,601182,5845253,60.64,247409,106884,290849.1,8,21,9.32
207,201,47,36,36,34,26,5879314,5844851,5825419,5825419,5786681,5539820,51,457784,5847527,60.64,260599,87854,252620.4,9,23,16.47
208,197,43,32,32,30,25,5878281,5844359,5825836,5825836,5789251,5624361,47,659524,5847041,60.64,322578,101937,326017.7,7,21,15.7
209,196,8,7,6,5,5,4566538,4518960,4515855,4510737,4494627,4494627,10,1561261,4520268,59.18,984082,733879,1070306.8,2,4,15.49
20,193,34,31,28,25,21,5682477,5649952,5644456,5619080,5566693,5404602,40,617823,5653679,60.1,261619,104654,326987.2,7,18,44.29
210,372,8,7,6,5,5,4613371,4519794,4516689,4511571,4495461,4495461,10,1561285,4520843,59.18,1215592,482432,1145863.3,2,4,15.57
211,684,32,31,30,29,20,5248784,5091694,5090241,5082614,5062727,4707805,36,758313,5094203,60.08,246322,58558,384996.9,5,18,21.24
212,775,34,33,32,31,23,5273472,5089822,5088369,5080742,5060855,4743064,41,629582,5094451,60.08,245324,58558,310551.8,6,21,21.61
213,273,71,65,62,41,30,5128102,5085803,5064518,5044519,4702142,4309154,78,451535,5090099,60.08,186382,32507,190573.3,10,37,16.86
213_reseq,287,39,38,36,34,25,5140152,5089182,5087729,5074853,5031392,4671753,44,499154,5092651,60.08,218560,57156,233510.5,9,24,23.86
214,182,34,34,33,28,26,6911081,6875273,6875273,6869975,6763843,6696247,34,832741,6875273,59.75,321873,102895,375011.8,7,20,21.77
215,610,59,55,52,45,36,6348473,6208159,6201338,6179696,6064050,5724938,67,580756,6213211,60.66,165477,64227,217952.2,12,34,9.59
216,447,68,63,60,49,43,6570483,6491694,6483622,6461409,6288939,6064164,77,557625,6497820,60.5,183680,51795,202385.2,12,39,30.53
217,363,28,23,22,19,18,6275953,6222242,6212177,6203680,6147507,6116283,29,1014455,6223118,59.77,575298,142236,551196.2,5,13,20.92
218,431,51,48,47,40,33,6032839,5942373,5933723,5928671,5800199,5552752,58,444998,5946645,60.49,230455,62722,235276.9,9,30,31.55
219,312,51,47,46,39,33,6111107,6053509,6046590,6038738,5911157,5716217,55,759659,6055673,60.41,171750,85843,247519.3,11,30,12.88
21,239,74,70,67,48,39,7116433,7090532,7078897,7055860,6745018,6411273,77,794547,7092743,60.99,180982,53063,270084.8,11,39,10.28
220,435,47,43,42,36,31,6037294,5942535,5936132,5931080,5829991,5635141,51,571548,5945181,60.49,239665,66880,286139.5,8,27,37.04
221,259,53,50,49,41,32,6093007,6049516,6044270,6036418,5891303,5565920,57,587940,6051985,60.41,152524,82569,215776.5,12,31,19.04
222,325,48,44,43,36,30,6113623,6051039,6045090,6037237,5909247,5715234,52,830672,6053497,60.41,203922,88405,280134.6,9,27,16.39
223,261,29,23,22,19,18,6257391,6222165,6210040,6201263,6151550,6120326,31,1014328,6223643,59.78,487175,142227,534238.3,5,14,23.7
224,171,38,33,32,30,27,6324563,6298421,6287650,6282364,6251235,6131674,40,640893,6299511,58.71,326645,93144,350059.2,7,21,19.94
225,1630,94,91,80,62,38,7351606,6958460,6947513,6864201,6584688,5774450,118,504228,6973745,60.58,155127,29994,190550.3,13,51,12.23
226,234,41,31,30,28,28,6640389,6596376,6574503,6569442,6527136,6527136,46,885099,6599886,58.99,329049,96326,411178.5,7,20,7.52
227,150,45,41,38,35,33,6699617,6675790,6667011,6643513,6597561,6520098,46,745128,6676337,59.83,255932,87733,311347.6,8,27,27.32
228,172,55,52,49,44,38,6698913,6673785,6666733,6639670,6549615,6339570,56,439074,6674461,59.83,231590,74380,215077.2,12,33,21.69
229,4838,191,164,143,85,42,8010640,6559866,6501129,6343354,5364140,3925228,608,296272,6817515,60.66,62619,13788,74756.5,34,126,19.67
22,303,85,76,72,63,58,10762103,10714022,10700284,10669371,10507867,10337234,96,548349,10721312,57.34,231834,85609,229481.2,18,49,23.78
230,275,52,48,44,37,27,5961360,5916649,5905007,5876053,5746141,5359276,59,569750,5921362,60.1,224290,59676,258221.5,9,27,26.62
231,3880,35,22,21,20,16,6134577,4812631,4792624,4787584,4763907,4619144,463,687035,5078433,55.34,334140,97216,346955.7,6,16,20.1
232,304,67,61,57,53,36,6137812,6082857,6068755,6040348,5966353,5360665,68,344852,6083439,60.88,160715,44176,177774.8,13,39,13.59
233,658,384,261,177,78,47,10742517,10670439,10325374,9711863,8135569,7033867,414,444945,10692836,57.9,103425,10569,156157.5,24,169,28.42
234,385,20,18,16,14,13,4366120,4272611,4268827,4256936,4219512,4185885,23,530671,4274945,66.8,394695,204514,365895.8,5,11,14.99
235,10979,1527,60,44,38,30,12378935,8536641,5963311,5859650,5751486,5435132,3783,383773,10103211,58.66,96496,784,123824.2,26,2157,49.5
236,163,57,53,47,40,25,4718929,4695368,4687980,4640223,4511791,3926487,59,559703,4696800,66.06,184254,41618,226893.4,8,32,27.47
237,732,150,112,99,71,53,6574560,6459761,6372040,6275401,5860173,5214073,165,206232,6469853,58.49,89542,27330,98084.9,25,70,15.55
238,448,92,84,80,62,43,7330905,7263909,7242228,7214534,6934619,6289999,94,626430,7265188,60.9,155747,37039,196448.9,15,49,9.19
239,417,56,53,52,42,36,7052406,6984075,6976352,6969773,6770106,6504780,62,568258,6987797,58.51,207361,64630,248773.9,11,33,38.78
23,277,72,66,63,52,40,7123678,7090958,7071944,7049515,6858000,6381039,75,698875,7092990,60.99,155640,49307,225437,13,41,9.94
240,198,19,14,14,14,10,5014348,4971425,4961062,4961062,4961062,4806558,23,1714758,4974360,55.04,534182,132804,884085.4,3,8,19.64
241,240,65,62,61,49,39,6940686,6901741,6890510,6884708,6686239,6321482,68,418022,6904226,59.71,201072,55258,212799.1,12,38,37.63
242,2279,1343,272,86,37,32,10705121,10248397,7681337,6432725,5779737,5602416,1742,495304,10540962,58.69,89647,2046,135888.1,28,828,36.39
243,492,57,47,46,42,32,6908793,6813462,6796216,6787405,6733882,6369729,62,955032,6817058,59.22,213618,65188,345240.9,8,29,45.37
244,544,50,45,44,40,33,5989454,5874159,5861612,5856123,5774574,5531299,58,488612,5880230,61.02,210334,68707,226216.5,10,30,20.58
245,155,30,21,21,20,16,5014079,4986946,4970261,4970261,4952222,4803104,34,1087780,4989513,55.43,524711,96363,551103.5,4,13,21.83
246,1114,28,27,24,22,19,6585470,6284850,6281861,6259562,6226098,6105314,45,874643,6294455,61.04,419553,122722,501738.6,5,15,20.38
247,959,74,63,61,54,46,11455381,11228346,11202009,11187336,11080991,10796941,84,587673,11235447,58.19,363569,90428,327507.6,13,37,15.59
248,505,33,31,28,26,26,6083808,5966327,5960223,5935391,5905565,5905565,36,623067,5968476,59.92,328273,96313,323500.9,7,19,21.88
249,539,42,40,36,32,26,6190962,6072071,6064401,6035098,5966145,5751259,46,801485,6074402,60.24,279145,93371,343717.3,7,22,26.49
24,243,42,39,37,34,29,5744787,5704091,5698380,5684016,5632377,5449504,47,536072,5707464,59.3,293428,73374,275700.2,8,24,44.28
250,259,42,37,36,30,26,6077166,6031270,6018562,6009665,5908369,5755654,45,829865,6033038,60.26,298045,82588,351233.7,7,22,25.64
251,140,44,31,31,29,24,5859965,5839425,5815610,5815610,5779025,5614553,48,658824,5842276,60.64,322598,100943,324261.1,7,20,11.74
252,143,46,36,36,34,27,5858930,5837803,5818237,5818237,5781652,5545741,52,601142,5842350,60.64,247409,85475,277251.3,8,23,8.83
253,4932,1573,52,31,29,24,10291914,8639447,5934073,5814193,5777608,5625094,2996,786926,9664885,58.3,122476,970,215007.8,16,1633,30.86
254,1309,933,325,141,41,26,10517851,10333323,8784561,7520777,6048054,5560143,1100,411388,10458649,58.32,99947,3420,149074,22,477,19.29
255,297,35,32,28,24,21,4368511,4301220,4291239,4261509,4202778,4107134,38,493598,4302919,66.83,241150,76761,251570.4,7,18,13.87
256,128,8,7,6,5,5,4548957,4519846,4516741,4511623,4495513,4495513,9,1561186,4520386,59.18,984365,734601,1070600.4,2,4,11.02
257,91,19,17,17,13,11,4318673,4300747,4292615,4292615,4234582,4165829,22,601583,4302840,66.83,506815,227509,448192,4,9,15.9
258,65,9,8,7,6,6,4531132,4518795,4515690,4510572,4494462,4494462,10,1561386,4519335,59.18,891443,733871,1034076.4,2,4,17.39
259,211,38,37,35,34,23,5124150,5088806,5087353,5072467,5052580,4621359,45,629582,5093368,60.08,234396,53151,295750.3,7,23,19.87
25,371,50,43,42,38,34,6404004,6333417,6318814,6313484,6246384,6107375,55,568082,6336199,59.38,261113,80034,255579.3,9,29,67.09
260,125,44,30,30,28,24,5858147,5842443,5814989,5814989,5778404,5660816,46,601130,5843934,60.64,301980,101143,303831.9,8,20,8.59
261,161,88,79,71,55,38,7041973,7026520,7002822,6939663,6666911,6072179,91,534715,7029129,59.58,182791,39975,195145.5,13,44,22.73
262,2072,1428,576,270,125,69,16879180,16602052,14498025,12370779,10255818,8194322,1663,580449,16776604,58.95,47440,3747,97618.9,73,714,23.69
263,6281,153,105,99,85,65,13105853,10995096,10927338,10882368,10646712,9901520,837,580673,11428339,58.39,167364,39315,197357.7,23,74,14.57
264,448,59,50,47,39,28,4660545,4565152,4544151,4516526,4382463,3986948,68,515980,4571946,53.59,147608,42062,185284.2,10,31,36.72
265,216,55,45,43,39,28,4602790,4568987,4541934,4522927,4453059,4034586,63,635903,4574432,53.59,147876,47329,209315,10,30,42.87
266,639,210,182,164,106,71,11865761,11782618,11714134,11573714,10594379,9391842,233,835252,11797786,58.41,118214,24973,212945.5,24,107,25.45
267,1470,782,559,385,182,68,18004803,17833021,17246379,16013734,12747280,8751367,856,702916,17883633,58.22,48714,9627,130904.1,72,394,26.73
268,3197,1940,453,182,78,42,12653571,12077152,8490490,6647942,5078769,3748492,2436,295694,12437310,59.8,12459,1936,41810.8,144,1318,45.1
269,194,77,68,68,59,45,6959565,6932760,6919639,6919639,6753070,6169022,81,789071,6935437,58.89,134513,48747,217386,14,47,12.52
26,163,32,27,27,22,22,6167966,6139912,6128203,6128203,6035601,6035601,38,719709,6143789,60.19,288708,175933,391594.1,6,17,24.04
270,262,58,53,49,42,32,5988405,5941667,5931377,5902711,5778085,5391934,69,486883,5948224,60.49,245379,50278,246867.7,9,32,50.67
271,480,280,217,153,75,31,6072331,6028858,5845836,5378918,4107786,2544136,293,194215,6037764,60.42,41068,9586,53164.9,42,159,31.09
271_reseq,237,48,43,43,36,30,6089604,6049855,6040172,6040172,5912953,5712664,53,589528,6052910,60.41,187135,93302,238248.3,10,28,16.85
